"","V1","V2"
"1","AADNV","648330"
"2","AAV2","10804"
"3","AAV2S","648242"
"4","ABAMA","118452"
"5","ABANI","72259"
"6","ABAPA","102642"
"7","ABAST","392897"
"8","ABBRI","75332"
"9","ABDAC","515833"
"10","ABDS2","56673"
"11","ABECH","180068"
"12","ABEFI","183219"
"13","ABEGR","105883"
"14","ABEMA","183220"
"15","ABHV","1241371"
"16","ABIAL","45372"
"17","ABIBA","90345"
"18","ABIBE","123605"
"19","ABIBR","66168"
"20","ABICO","97173"
"21","ABIDE","46125"
"22","ABIFI","78260"
"23","ABIFR","97172"
"24","ABIFY","473868"
"25","ABIGR","46611"
"26","ABIHL","97168"
"27","ABIHO","78261"
"28","ABIKO","97170"
"29","ABILA","34340"
"30","ABIMA","3320"
"31","ABIMR","78263"
"32","ABINE","97176"
"33","ABINO","97177"
"34","ABISA","78264"
"35","ABIVE","78262"
"36","ABLBU","283347"
"37","ABLHI","129035"
"38","ABLKI","245592"
"39","ABLVB","446561"
"40","ABLVH","446562"
"41","ABMVW","10816"
"42","ABPVR","1217067"
"43","ABRAN","89096"
"44","ABRBE","108855"
"45","ABRBR","38527"
"46","ABRGR","278977"
"47","ABRJE","241142"
"48","ABRLO","29094"
"49","ABROL","29098"
"50","ABROR","49579"
"51","ABRPR","3816"
"52","ABRSY","190335"
"53","ABSGL","4829"
"54","ABSSP","126712"
"55","ABUSA","50731"
"56","ABUSE","80948"
"57","ABUTH","3631"
"58","ABUVA","192871"
"59","ABV","437444"
"60","ABVP","654911"
"61","ABYKO","61637"
"62","ACAAN","8605"
"63","ACAAR","258588"
"64","ACAAU","185140"
"65","ACABA","157584"
"66","ACABE","119680"
"67","ACABI","200166"
"68","ACABO","425510"
"69","ACABR","339859"
"70","ACABU","8179"
"71","ACABW","392908"
"72","ACACA","5755"
"73","ACACE","157585"
"74","ACACH","51758"
"75","ACACI","357281"
"76","ACACL","256091"
"77","ACACN","126420"
"78","ACACO","3809"
"79","ACACP","52216"
"80","ACACR","1310284"
"81","ACACS","136140"
"82","ACACT","271173"
"83","ACACU","938165"
"84","ACADO","121031"
"85","ACAEB","241842"
"86","ACAER","111511"
"87","ACAEU","44213"
"88","ACAFL","54769"
"89","ACAGO","115339"
"90","ACAGR","1129268"
"91","ACAGU","75013"
"92","ACAHO","90719"
"93","ACAKA","117190"
"94","ACALA","8177"
"95","ACALE","459747"
"96","ACALI","483362"
"97","ACALU","85306"
"98","ACAM1","329726"
"99","ACAMA","78687"
"100","ACAMI","1110371"
"101","ACAMN","224085"
"102","ACAMR","155978"
"103","ACAMY","138032"
"104","ACANA","1108046"
"105","ACANG","175431"
"106","ACANI","12913"
"107","ACANR","175432"
"108","ACAOB","200917"
"109","ACAOV","204797"
"110","ACAPA","1264770"
"111","ACAPC","335913"
"112","ACAPF","452306"
"113","ACAPI","71285"
"114","ACAPL","133434"
"115","ACAPO","5757"
"116","ACAPT","173075"
"117","ACARH","32204"
"118","ACARO","1211104"
"119","ACARU","266413"
"120","ACAS","57776"
"121","ACASC","72011"
"122","ACASE","239748"
"123","ACASI","66546"
"124","ACASN","642423"
"125","ACASO","13323"
"126","ACASP","150342"
"127","ACASS","412080"
"128","ACATH","175434"
