"sampleName"	"inputSpecies"	"pthr"	"an"	"newAN"	"distFloat"	"distBranches"	"uniprotList"
"1"	"LOXAF12429"	"LOXAF"	"PTHR11465"	"AN30"	"AN15"	"0.097"	"4"	"P04040;H2Q3E5;G3R538;A0A1D5R8V9;P24270;P04762;P00432;O62839;F1SGS9;A0A3Q2I6E8;A0A5F5XU85;A0A5S6CLE1;O97492;A0A5F8H010;A0A6I8NZR6;A0A1L1RX38;R4GCJ7;H9GJN5;H9GJT8;A0A6I8QLG9;A0A6I8RDW4;Q5I0T0;Q05B04;H2L8K1;Q9PT92;W5LYF3;F7B7H5;A0A7M7SZW0;A0A7M7P149;O61235;Q8MYL7;A8XYN6;Q27487;A8XYN7;H3E0R1;H3F8T7;Q9VLI6;P17336;A3E7Z8;D6X4D1;D6X4D0;A0A139WLA9;E9HZ30;T1F193;T1FMR4;B3SC13;A9UW79;Q7S8G4;A7ELI9;Q5K917;P15202;Q751G2;O13289;Q6BZT7;Q5B0L2;Q4WZ63;A7EUY3;A7E5H2;P55306;B6K7V1;E3KAE6;H6QSC5;E3KKP2;E3JV15;P06115;Q6C3J7;Q6C3H7;Q5AT27;Q4WIY7;A7EW00;Q0UYE1;A7EIQ7;A7EK43;Q0U013;Q5K8E2;E3KXV8;O77229;F0ZZJ3;A0DRS3;A0DIN2;H3G6P1;H3G9J5;H3G9E1;D8RV94;D8S1Z6;A0A2K1J0Z2;A9TG35;A0A2K1IXG2;A0A2R6WPP1;A0A1Y1HMZ2;A0A1Y1IRA0;A0A1Y1IB54;A0A1Y1HKX4;A0A1Y1I619;Q9RJK9;Q2FYU7;Q8A6B4;P77872;Q7DDS5;P44390;O52762;A0A5P8YDK8;Q9EWJ4;Q9Z598;P26901;Q8F528;Q7USP9;O25229;Q89GU4;Q89XL6;Q8EHY4;Q8P411"
"2"	"LOXAF07731"	"LOXAF"	"PTHR23507"	"AN27"	"AN13"	"0.066"	"3"	"Q96NT5;K7DDW2;G3R696;A0A5F8AS15;Q6PEM8;Q5EBA8;Q05B81;I3L9X9;F6UGY6;M3W9I8;E2QVR2;F6QTF6;F7CTF3;F1NJ67;H9GIG8;F7CV95;H2LVP5;Q7ZWG6;W5MDY1;H2XT83;C3YBC7;A0A7M7P1P2;A0A7M7N623;A0A7M7T2M0;A0A7M7N698;A0A7M7N249;A0A7M7PFA8;A0A7M7PG82;A0A7M7T2V1;A0A7M7G0B3;A0A7M7N559;A0A7M7HIY3;A0A7M7GI14;A0A7M7GA58;A0A7M7PAU4;A0A7M7PBL8;A0A7M7PR29;A0A7M7T2D1;A0A7M7PEU5;A0A7M7N0N4;A0A7M7PB08;A0A7M7PCG7;H2KZC0;A8XK32;H3DS14;H3EJ71;Q9XWL3;A8WXM0;H3FWD3;Q20236;A8XVF6;H3ES42;Q9UAZ6;A8XWU5;H3F4T6;Q0E8E1;A0A1S4GH99;Q7PGR0;D6WVQ3;Q9VA14;B7YZU3;Q1EC10;A1Z7R6;Q961H2;Q7PNX3;Q5TRR9;Q7Q7G7;A0A139WEK6;Q8INF8;Q9VY22;Q7Q1Q1;Q5TSW5;A0A139WEI0;D6WRR1;D6WRL5;D2A535;E9HG06;E9GS40;E9GS37;E9HFY2;E9HFY1;E9HCE6;B7PVT9;B7PFJ1;B7P6W2;B7PM66;B7P8P0;T1EQS9;T1FBK4;T1FPR5;T1F9D3;A7S9D8;A7RIK2;A7RIS8;A7STS4;A7SHN9;A7SUG3;A7RHU0;A7SBG4;A7T5Z8;A7S0P7;A7T8V4;B3S1V2;B3S1V1;B3RMB1;A9VBM8;Q7SCE7;Q0URQ3;Q5KAV2;P46996;Q757X6;A0A1D8PK68;Q6C7W7;Q6C920;Q6CFJ8;Q6CD09;Q5AZD6;Q4WBY0;Q4X097;C8V3Y8;Q4WBJ0;Q4WVN5;V5IKB3;Q0V5F6;Q7SFA1;Q7S282;A7UW67;A7EJ42;Q0TZY9;Q4WUA4;Q7SA93;A7EBM9;Q0U5D5;O13714;B6K494;Q5KDC3;A0A0D1E0H6;A0A0D1CG49;A0A0D1DU49;A0A0D1CJD8;A0A0D1E4Z8;E3K8Z4;F4NUP9"
"3"	"LOXAF02888"	"LOXAF"	"PTHR10807"	"AN257"	"AN257"	"0"	"0"	"Q13496;A0A2I3S224;G3RAB6;F6Z4P3;Q9Z2C5;Q6AXQ4;A6QLT4;A0A286ZR95;A0A3Q2L2I2;M3X251;F1Q1K0;A0A5F8GTV2;F6TY44;E1BRL5;Q5EB32;H2N262;F8W5H1;W5NB11;F6YKJ2;C3ZL63;A0A7M7NHF3;Q9N589;A8Y1T8;A8XBW6;H3FCE6;Q9VMI9;A0A1S4H1F2;Q7Q1Z5;D6W9S3;E9GCQ5;B7Q0U6;T1FQ89;A7RVM7;B3RLC2;B3SBP9;A9UZQ2;P47147;Q75D71;A0A1D8PEF4;Q6C4T9;Q4WJK7;U9W3J8;A7EP72;Q0U936;O13819;Q5KP89;A0A0D1DWE1;E3KNU9;C4M179;C4MAR2;C4M505;C4LUH7;C4M0I2;C4MBL4;C4LXV8;C4LZ80;Q54YC2;F0Z8X8;Q55E58;F1A482;Q54GQ1;F1A1E7;Q55AZ2;F0ZEG8;Q54TD5;F0ZYE9;Q54C52;F0ZV74;Q54PL3;F0ZJQ0;Q55EE1;Q55E04;F0ZAL0;Q1ZXD2;F1A2F1;Q4QGR1;Q4QCP6;Q585F9;Q4GYP3;A8BYI5;A8BTI9;A8BR06;A0E8R1;A0EGI5;A0DDU6;H3HCJ5;H3GIQ1;H3GBH0;H3HE54;H3HD54;H3GG88;H3G7G1"
"4"	"LOXAF08886"	"LOXAF"	"PTHR10807"	"AN313"	"AN292"	"0.022"	"2"	"Q13614;H2R3W9;G3RYF3;I0FK61;Q9Z2D1;D3ZA31;A6QLT2;F1STI4;F6VTT0;A0A2I2V2L4;A0A5F4BPR7;A0A5F8G3Y0;A0A6I8PG38;Q5ZIV1;G1KP14;A0A6I8QDX1;A0A3B3I714;A0JMK5;W5MLK5;F6YKJ2;C3ZL63;A0A7M7NHF3;Q9N589;A8Y1T8;A8XBW6;H3FCE6;Q9VMI9;A0A1S4H1F2;Q7Q1Z5;D6W9S3;E9GCQ5;B7Q0U6;T1FQ89;A7RVM7;B3RLC2;B3SBP9;A9UZQ2;P47147;Q75D71;A0A1D8PEF4;Q6C4T9;Q4WJK7;U9W3J8;A7EP72;Q0U936;O13819;Q5KP89;A0A0D1DWE1;E3KNU9;C4M179;C4MAR2;C4M505;C4LUH7;C4M0I2;C4MBL4;C4LXV8;C4LZ80;Q54YC2;F0Z8X8;Q55E58;F1A482;Q54GQ1;F1A1E7;Q55AZ2;F0ZEG8;Q54TD5;F0ZYE9;Q54C52;F0ZV74;Q54PL3;F0ZJQ0;Q55EE1;Q55E04;F0ZAL0;Q1ZXD2;F1A2F1;Q4QGR1;Q4QCP6;Q585F9;Q4GYP3;A8BYI5;A8BTI9;A8BR06;A0E8R1;A0EGI5;A0DDU6;H3HCJ5;H3GIQ1;H3GBH0;H3HE54;H3HD54;H3GG88;H3G7G1"
"5"	"LOXAF18580"	"LOXAF"	"PTHR11717"	"AN12"	"AN12"	"0"	"0"	"P24666;A0A2I3TIX4;G3RHR9;A0A1D5QN23;F7HJ25;Q9D358;P41498;A0A3Q1N8V6;F1S9H9;A0A3Q1MR31;P11064;P81693;A0A5F5PM56;A0A337S8L4;J9NU66;F6SW05;F6UP37;F7G3D7;A0A6I8PKY2;Q5ZKG5;G1KE09;A0A6I8PKB6;A0A3B3HSR5;A0A0R4IBG2;W5NL04;A0A7M7PBN4;A7WK41;A8XJ20;Q9VE30;Q8ING6;Q7PVI6;A0A1S4H0M8;P82891;P82890;Q7QH56;A0A139W9P1;E9GL49;B7P4G9;B7QN90;A7RXH1;B3RLD6;B3RLD4;P40347;Q75BD1;A0A1D8PE91;Q6C3R6;C8V7X2;Q4WIH0;Q7S0H0;A7EI17;Q0URW6;P41893;B6JYK6;Q5KLY6;A0A0D1E586;E3KIJ0;F4NRD5;C4LVM2;C4LSE7;Q55GW2;F0Z7S7;A8BYX6;A2ENR8;A2DYL9;A2F3J7;A2FWZ0;A2G0H1;A2E677;A2DJ06;A2EK34;A0A2K3D6P9;A0A2K1LA50;A0A2R6WVQ5;A0A1Y1HQH3;A5HY39;Q2FWE3;Q8Y4B1;P39155;Q814U9;P74313;B8E006;Q9F7B2;P0ACZ2;P0AAB2;A9WG49;A9WEM8;P53433;P9WIA1;Q8DNA4;Q2FX12;Q8Y8G6;O35016;Q81ID8;Q7NGJ5;Q55535;Q8EY22;Q8A453;Q9JZ69;Q8EEZ7;Q9KTI6;Q9KT64;Q8P8W7;Q9HZM6"
"6"	"LOXAF12667"	"LOXAF"	"PTHR11717"	"AN38"	"AN12"	"0.131"	"2"	"P24666;A0A2I3TIX4;G3RHR9;A0A1D5QN23;F7HJ25;Q9D358;P41498;A0A3Q1N8V6;F1S9H9;A0A3Q1MR31;P11064;P81693;A0A5F5PM56;A0A337S8L4;J9NU66;F6SW05;F6UP37;F7G3D7;A0A6I8PKY2;Q5ZKG5;G1KE09;A0A6I8PKB6;A0A3B3HSR5;A0A0R4IBG2;W5NL04;A0A7M7PBN4;A7WK41;A8XJ20;Q9VE30;Q8ING6;Q7PVI6;A0A1S4H0M8;P82891;P82890;Q7QH56;A0A139W9P1;E9GL49;B7P4G9;B7QN90;A7RXH1;B3RLD6;B3RLD4;P40347;Q75BD1;A0A1D8PE91;Q6C3R6;C8V7X2;Q4WIH0;Q7S0H0;A7EI17;Q0URW6;P41893;B6JYK6;Q5KLY6;A0A0D1E586;E3KIJ0;F4NRD5;C4LVM2;C4LSE7;Q55GW2;F0Z7S7;A8BYX6;A2ENR8;A2DYL9;A2F3J7;A2FWZ0;A2G0H1;A2E677;A2DJ06;A2EK34;A0A2K3D6P9;A0A2K1LA50;A0A2R6WVQ5;A0A1Y1HQH3;A5HY39;Q2FWE3;Q8Y4B1;P39155;Q814U9;P74313;B8E006;Q9F7B2;P0ACZ2;P0AAB2;A9WG49;A9WEM8;P53433;P9WIA1;Q8DNA4;Q2FX12;Q8Y8G6;O35016;Q81ID8;Q7NGJ5;Q55535;Q8EY22;Q8A453;Q9JZ69;Q8EEZ7;Q9KTI6;Q9KT64;Q8P8W7;Q9HZM6"
"7"	"LOXAF07075"	"LOXAF"	"PTHR22901"	"AN14"	"AN13"	"0.038"	"1"	"Q9HAT2;H2Q512;G3QME7;A0A5F7ZPY6;P70665;P82450;F1N0F2;F1S7B2;F7AJB8;M3VYU4;F1PXN3;F7EWC9;A0A6I8P7V1;R4GAY0;F7CPG9;H2MHU5;Q1LUX8;W5M5F0;H2Y181;F6RRP3;F6RRT5;C3Z129;C3Y8H9;C3ZBF5;C3Z127;A0A7M7N450;A0A7M7GHZ2;T1FQT7;T1EEL9;A7S3W8;A9UY79;B9TI55;Q8AAK7;Q8A331;Q8A932;Q8A2Y4;Q8A6U7;Q8A323;Q8AAL7;Q8A1R2;Q8A0D0;Q7UPP2;Q7UHJ8;Q7UL92;Q7UKM9;Q8P3G8;Q8P9U4;Q9I2M3"
"8"	"LOXAF11798"	"LOXAF"	"PTHR43391"	"AN572"	"AN554"	"0.057"	"2"	"Q9NYR8;H2QFA7;G3R961;F6URW4;D3Z6W3;D4A8D2;Q9N126;F1S3H8;F6TX84;M3WBB9;E2RCG9;F7ERI7;A0A6I8NA16;A0A3Q2U0T4;H9GI25;A0A803JBY6;H2LMU2;H2M0R5;F1QT23;Q7T2I8;W5MJU3;F6V3N2;A0A7M7GGA6;A0A7M7P1L1;A0A7M7HNG5;A0A7M7HQF6;A0A7M7N308;A0A7M7TG97;A0A7M7PBZ2;A0A7M7LW66;A0A7M7PAR1;A0A7M7P4D6;A0A7M7REM4;A0A7M7P0H4;A0A7M7HNR0;A0A7M7RAD9;A0A7M7P0N7;A0A7M7GJB1;A0A7M7NMC0;A0A7M7RD25;A0A7M7P327;A0A7M7NC76;A0A7M7HN75;A0A7M7NMJ1;A0A7M7NNP0;A0A7M7NR90;A0A7M7R9I2;A0A7M7NY27;A0A7M7LVK7;A0A7M7G4T8;A0A7M7HR67;A0A7M7NU24;A0A7M7P0P4;A0A7M7P9U4;A0A7M7HKX9;A7RSA6;A7RYH0;A7RYH1;B3RRH6;B3RJC7;B3RRH8;A9V381;Q5B7D5;A7EVL5;A7EPH3;O74628;Q6CI38;Q5AYM8;Q4WDB2;V5IMM1;Q0V3D1;Q5AYU8;Q7RXR0;A7E4T0;Q0TYM1;Q5BAN7;Q5BB30;Q1K625;A7EMA1;Q5KKB5;Q5KCB6;E3KQY8;E3KGA2;F4PFH6;C4LZ04;Q54WA9;B9TDV2;A0A1Y1IGZ2;A0A1Y1IHI7;A9A2H8;A9WDM1;O50460;P9WGP9;O07749;Q2FY69;Q89DU5;Q8EJF7;Q9I3H6;Q9S260;Q9RYW1;Q89E36;Q93IY8;O53398;Q8EXT7;Q8EZ09;Q8A945;Q7UTX6;Q89SZ4;Q89G53;Q89D37;Q89BG7;Q8EJM5;Q9I3W5"
"9"	"LOXAF10181"	"LOXAF"	"PTHR43391"	"AN490"	"AN489"	"0.061"	"1"	"P14061;H2QD22;Q1WNP0;G3R5J5;A0A5F8AEI2;P51656;P51657;Q1JQD0;B2X0A4;A0A5K1UDC8;M3WFH9;E2RI88;F7G656;A0A6I8NW39;F7BSH6;H2LGV5;F1QUP2;W5N3Z7;F6V3N2;A0A7M7GGA6;A0A7M7P1L1;A0A7M7HNG5;A0A7M7HQF6;A0A7M7N308;A0A7M7TG97;A0A7M7PBZ2;A0A7M7LW66;A0A7M7PAR1;A0A7M7P4D6;A0A7M7REM4;A0A7M7P0H4;A0A7M7HNR0;A0A7M7RAD9;A0A7M7P0N7;A0A7M7GJB1;A0A7M7NMC0;A0A7M7RD25;A0A7M7P327;A0A7M7NC76;A0A7M7HN75;A0A7M7NMJ1;A0A7M7NNP0;A0A7M7NR90;A0A7M7R9I2;A0A7M7NY27;A0A7M7LVK7;A0A7M7G4T8;A0A7M7HR67;A0A7M7NU24;A0A7M7P0P4;A0A7M7P9U4;A0A7M7HKX9;A7RSA6;A7RYH0;A7RYH1;B3RRH6;B3RJC7;B3RRH8;A9V381;Q5B7D5;A7EVL5;A7EPH3;O74628;Q6CI38;Q5AYM8;Q4WDB2;V5IMM1;Q0V3D1;Q5AYU8;Q7RXR0;A7E4T0;Q0TYM1;Q5BAN7;Q5BB30;Q1K625;A7EMA1;Q5KKB5;Q5KCB6;E3KQY8;E3KGA2;F4PFH6;C4LZ04;Q54WA9;B9TDV2;A0A1Y1IGZ2;A0A1Y1IHI7;A9A2H8;A9WDM1;O50460;P9WGP9;O07749;Q2FY69;Q89DU5;Q8EJF7;Q9I3H6;Q9S260;Q9RYW1;Q89E36;Q93IY8;O53398;Q8EXT7;Q8EZ09;Q8A945;Q7UTX6;Q89SZ4;Q89G53;Q89D37;Q89BG7;Q8EJM5;Q9I3W5"
"10"	"LOXAF04687"	"LOXAF"	"PTHR31573"	"AN43"	"AN43"	"0"	"0"	"Q6NS38;H2Q6U0;G3RZ41;F7DWK4;A0A5F8A7F8;Q6P6J4;A0A0G2K5G5;Q58DM4;F1RGB2;F6UKK7;A0A2I2U3D6;E2R042;H9H7C1;F7G2Z3;A0A1D5PDH0;A0A6I8Q8D4;H2LS59;A3QK41;W5MAG9;A0A7M7T1P6;D6X1E3;A7S2D3;A9UX55"
