"sampleName"	"inputSpecies"	"pthr"	"an"	"newAN"	"newGraft"	"distFloat"	"distBranches"	"jumpUpDist"	"downDup"	"upDup"	"downHT"	"upHT"	"inferredMove"	"implicitHT"	"tgRoot"	"leafGraft"	"nonAncRoot"	"matchBlockList"	"exceedBlockList"	"leafOrtho"	"switchBranch"	"note"	"uniprotList"
"1"	"A0A1D2M2P3"	"ORCCI"	"PTHR31905"	"AN60"	"AN61"	87	"0.344"	"1"	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	FALSE	""	"A0A2I3S5Q4;A0A2I2YYX7;Q4VC31;A0A2I3S5W6;A0A2I3RII1;A0A2I2YHF9;A0A2I2YXW6;A0A2I2Y7L0;G3S0T2;A0A2I2ZR55;F7HMS8;Q8R3Q6;D4A305;A0A3Q1MSG4;A4FUI1;I3LE14;F7C2U3;A0A5F5XT19;J9P6J9;F6PW38;A0A1L1RZ58;H9GBM7;A0A803JMS1;B3DL65;A0A3B3HTU7;Q6PBK1;W5M614;F7BI48;A0A7M7RDH7;Q9VW41;Q7Q7B3;D6W9A5;E9GIP4;B7P1M8;T1FJI3;A7SBS3;B3RXP2;A9UPJ2;P38162;Q75BT2;A0A1D8PPE1;Q6CCT8;Q4WQ84;Q7S9Y3;A7E7B0;Q0UMS3;O74982;Q5KJ47;A0A0D1EAK0;E3LAP4;E3KG86;F4PA45;Q54N67;F0ZVZ8"
"2"	"A0A0D2R5Y4"	"GOSRA"	"PTHR12866"	"AN214"	"AN214"	290	"0"	"0"	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	FALSE	""	"-1"
"3"	"A0A0D2SWK7"	"GOSRA"	"PTHR10598"	"AN195"	"AN195"	99	"0"	"0"	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	FALSE	""	"-1"
"4"	"F6ZY41"	"CALJA"	"PTHR21580"	"AN293"	"AN294"	477	"0.021"	"1"	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	FALSE	""	"Q96PU9;A0A2I3RIF3;G3RBF3;A0A1D5QHE5;Q920N1;D3ZE94;A0A3Q1LYN4;Q2TBH0;F1RGZ7;F7E390;M3VYX0;E2QW44;F7BLC6;A0A3Q2U6G1;A0A1L1RLW0;H9GP55;G1KU35;Q5EB30;H2M959;H2M1S2;A3KQA5;W5NJB9;F6T0I7;F6Y844;C3YPM2;C3Y7K1;A0A7M7G414;A0A7M7RI41;Q9VCJ6;Q7PXV7;M9PB71;A0A1S4GXX9;A0A139WEP9;D2A0Z3;E9FQW4;B7P354;T1FFZ7;T1F928;T1ER82;T1FH52;T1EX70;A7SL54;A7SFE9;B3RNZ0;B3SC03;A9VDJ8;A9VA24;F4NS52;F4P5E2;F4NUJ9;E9AEM0;Q4QJD3;Q57XU0;A8B9N3;D3KGN3;D3KGN2;A8B9N4;A0A644F1N7;A0A644F8J4;A8B9W3;A8B9X5;A2FMG8;A2EBI3;A2FB10;A2E4P5;A2FIL4;A2FZC3;A2ED61;A2EWR5;A2E2J0;A2FIL5;A2EZ15;A2ETY9;A2FJG4;A2FV40;A2EP73;A2FH33;A2DBR4;A2D9Q3;A2DXP2;A2DYN7;A2FMK2;A2FYG4;A2EVL6;A2FM32;A2FPT3;A2FV39;A2EC22;A2FA52;A2EPC1;A2F304;A2GQ47;A2DKV0;A2FMG5;A2FNP3;A2DIL3;A2EFK1;A2ECL8;A2DFC5;A2FLP7;A2FPG7;A2F4I4;A0DR13;A0DBI3;A0E634;A0D9Z0;A0BT71;A0DYR7;A0BFH7;A0DMD1;A0E7N1;A0BZE3;A0C8R7;A0BSJ6;A0CFS7;A0BZ98;A0CQZ8;A0EAF4;A0C691;A0EFY1;A0EFH3;A0CX86;A0DAN0;A0DTA9;A0E7W1;A0CVX1;A0ED40;A0BK66;A0EA23;A0CQZ5;A0C8R9;A0BVE2;A0BT26;A0BSW9;A0BZK2;A0DNS0;A0CQU6;Q6BFZ6;A0DMY0;A0BW65;A0BRU2;A0EFQ6;A0C314;A0CSL6;A0CIX2;A0CU60;A0BLQ3;A0BIU1;A0EID3;A0DAC8;A8IK96;A0A2K3DFZ1;A0A2K3DZP7;A0A2K3D5A7;D8SBV9;D8TD24;D8SNW9;D8QZA2;D8SZJ5;D8TFR9;D8TFR8;D8T0W0;D8QTF8;D8TFS1;D8T3H1;D8RWK1;A0A2K1IU37;A0A2K1JM87;A0A2K1IA26;A0A2R6VX13;A0A2R6VWZ9;A0A2R6VX07;D8RJ20;D8QRU4;A0A2K1IA96;A0A2K1JG29;A0A7I4FAU6;A0A2K1KLX3;A0A2K1KLW8;A0A2R6W8B0;A0A1Y1HN23;A0A1Y1HVY1"
"5"	"A0A5F4VTZ5"	"CALJA"	"PTHR21859"	"AN12"	"AN12"	103	"0"	"0"	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	FALSE	""	"-1"
"6"	"U3CAL7"	"CALJA"	"PTHR12847"	"AN275"	"AN275"	435	"0"	"0"	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	FALSE	""	"-1"
"7"	"A0A0D2RGQ0"	"GOSRA"	"PTHR31715"	"AN110"	"AN110"	53	"0"	"0"	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	FALSE	""	"-1"
"8"	"A0A5F4W530"	"CALJA"	"PTHR12522"	"AN50"	"AN50"	84	"0"	"0"	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	FALSE	""	"-1"
"9"	"A0A0D2QKP6"	"GOSRA"	"PTHR32285"	"AN1176"	"AN1175"	2710	"0.029"	"1"	2	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	FALSE	""	"E3KNK2;B8BUJ0;B5YP55;B8LCX0;W1PYD6;A0A0K9NM65;A0A0K9Q432;M0SGQ9;K3XGL1;A0A1B6Q7T8;C0P5R2;Q8LQG0;I1HUI6;I1HUI7;A0A287MBH0;A0A077RWF9;A0A3B6EPG2;A0A3B6FL21;A0A3B6GN60;A0A3B6FUE2;A0A3B6EBB3;A0A3B6H0B8;A0A1U7Z7H4;A0A0K9RDW6;A0A0K9RE00;A0A251UP23;A0A251U5B5;A0A2J6LWB2;A0A022Q8M0;A0A1U8G7S7;M1D290;A0A3Q7G299;A0A1S4AXL0;A0A1S4CS02;F6HAK5;A0A058ZXT5;A0A078JF41;M4E1A8;Q9FHM0;M4DRM8;M4DBM8;Q8VYS5;A0A1U8P2T7;A0A1U8M206;A0A1U8LYJ8;A0A061G7E6;A0A067FQC8;A0A2K1YCW7;A0A2K1XMC4;A0A2C9UIM1;A0A251KPI2;B9R9N2;K7LK30;I1NIC1;G7KNS1;A0A072VN16;A0A2I4FGN7;A0A0A0KWJ5;A0A251QMV8;D8TDQ5;D8TAU7;A0A2K1LBP9;A0A2R6XTV8;A0A1Y1HW41;A0A1Y1HKW4"
"10"	"F7EEH9"	"CALJA"	"PTHR12959"	"AN15"	"AN15"	135	"0"	"0"	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	FALSE	""	"-1"
